TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
389978,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2005,FORD,TAURUS,WHITE,75 ASYLUM ST,04162021,1018,"(41.766662581132444, -72.67440351644501)"
389981,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2012,INIFINITI,M37,GRAY,16 LINCOLN ST,04162021,1132,"(41.75364753415467, -72.68412693487126)"
390012,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AX45929,2008,TOYOTA,SCION,GRAY,123 NEWTON ST,04172021,0640,"(41.76131458607808, -72.70793978257622)"
389982,,,860-246-7616,TX,06238P2,2003,TOYOTA,MATRIX,BLUE,100 BENTON ST,04162021,1229,"(41.747039216823204, -72.67924294088934)"
389985,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AV49554,2014,NISSAN,SENTRA,BLUE,17 DENISON ST,04162021,1244,"(41.76616802406275, -72.70629537504902)"
389984,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,C220436,2006,HONDA,ACCORD,BLUE,67 SOUTH WHITNEY ST,04162021,1240,"(41.759135106051794, -72.70947264823826)"
389986,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2003,HYUNDAI,ACCENT,BLACK,11 AUBURN ST,04162021,1314,"(41.79103474808867, -72.68401525507373)"
389989,,,860-246-6871,CT,AX6199S,2006,HONDA,ACCORD,GRAY,451 FARMINGTON AV,04162021,1335,"(41.765631647288615, -72.71619681976983)"
389987,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2004,HONDA,ACCORD,BLUE,11 ADDISON ST,04162021,1317,"(41.79714058374438, -72.66440581728627)"
389988,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,,,2006,FORD,ESCAPE,GRAY,389 HOMESTEAD AV,04162021,1323,"(41.78142520948669, -72.70201423790232)"
389990,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,X529D,2015,INFINITI,Q60,BLACK,834 NEW BRITAIN AV,04162021,1344,"(41.73257672959676, -72.711000423786)"
390035,,,860-296-1518,CT,UCONN84,2019,GMC,DENALI,BLK,300 ASYLUM ST,04182021,0046,"(41.76758525331148, -72.6785700106631)"
390277,CROSS COUNTRY TOWING,"100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,MA,9LF111,2008,NISSAN,ALTIMA,GRAY,221 LAUREL ST,04262021,0017,"(41.765643602116505, -72.69737014045128)"
390037,,,860-296-1518,CT,513ZJE,2012,HYUNDAI,SONATA,BLK,300 ASYLUM ST,04182021,0059,"(41.76758525331148, -72.6785700106631)"
390036,,,860-296-1518,MA,6FGN40,2008,HONDA,ACCORD,RED,300 ASYLUM ST,04182021,0051,"(41.76758525331148, -72.6785700106631)"
390252,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,09622Y2,2002,HONDA,CIVIC,SIL,CAPITOL AV & JAMES ST,04252021,0105,"(41.76017867598707, -72.71208938771227)"
390221,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AU75340,2001,VW,GTI,BLACK,69 JAMES ST,04242021,1119,"(41.759142148642766, -72.71238601599887)"
390061,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,MA,5TNS30,2015,ACURA,MDX,WHI,35 EVERGREEN AV,04192021,1250,"(41.765149451539095, -72.70943112596588)"
390168,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2004,NISSAN,MAX,SILVER,19 EASTFORD ST,04222021,1537,"(41.792426442732555, -72.68301350217007)"
390278,CROSS COUNTRY TOWING,"100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,,,2004,VOLKSWAGEN,TOURAEG,BLU,CURCOMBE ST & WAWARME AV,04262021,0027,"(90.0, -72.75)"
390169,,,860-296-8588,,,2013,HYUNDAI,VELOSTAR,WHITE,125 HARBISON AV,04222021,1536,"(41.75175550413129, -72.69963429641923)"
389983,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,8ASJW2,2014,CHEVY,IMPALA,BLK,1 WILLARD ST,04162021,1236,"(41.77151758659818, -72.69569933547436)"
390177,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AZ90974,2016,HYUNDAI,SONTATA,WHITE,10 WYLLYS ST,04222021,2350,"(41.757123895004476, -72.6720746135812)"
389554,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,9AVXP8,2017,TOYOTA,CAMRY,BLK,30 OXFORD ST,04052021,1234,"(41.77364315382736, -72.71229519669785)"
389861,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AV12883,2001,HONDA,CIVIC,BLACK,16 HAMILTON ST,04132021,1325,"(41.75386879341482, -72.7021459755746)"
390279,CROSS COUNTRY TOWING,"100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,CT,AX47960,2017,NISSAN,ROUGE,WHITE,5 CANTON ST,04262021,0236,"(41.77809211916773, -72.67478185939015)"
390253,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,BA36547,1995,TOYOTA,COROLLA,BLU,BROADVIEW TER & FLATBUSH AV,04252021,0109,"(90.0, -72.75)"
390055,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,MA,8HS235,2009,BMW,528I,SILVER,379 FARMINGTON AV,04192021,0744,"(41.76695582685321, -72.7027312777892)"
390203,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,9ASNJ4,2012,DODGE,CHARGER,BLK,107 ALBANY AV,04232021,1755,"(41.77483558399689, -72.67893362106086)"
390038,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AV57915,2011,AUDI,A5,BLK,FARMINGTON AV & OXFORD ST,04182021,0347,"(90.0, -72.75)"
390222,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AC73499,2007,HONDA,ACCORD,GRAY,BLUE HILLS AV & TOWER AV,04242021,1222,"(41.800680268281425, -72.6948077633015)"
389993,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AC73499,2007,HONDA,ACCORD,GRAY,495 FLATBUSH AV,04162021,1634,"(41.7400674710041, -72.7141922851277)"
389992,,,860-296-9663,CT,AU77317,2008,TOYOTA,SCION,BLUE,56 MAPLE AV,04162021,1619,"(41.75438264472452, -72.67679205219927)"
390074,,,860-293-2442,CT,AU87614,2009,HYUNDAI,ELANTRA,GRY,117 BROOK ST,04202021,0344,"(41.779080508126086, -72.6833315536857)"
390013,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AU25572,2007,HONDA,ACCORD,RED,GREENFIELD ST & RIDGEFIELD ST,04172021,0741,"(41.78455422786089, -72.696159235974)"
390040,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2003,CHEVY,TRAILBLAZE,BLU,67 MADISON AV,04182021,0419,"(41.7536562026735, -72.71139826395526)"
390039,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AA96309,2012,HONDA,CIVIC,BLK,FARMINGTON AV & OXFORD ST,04182021,0347,"(90.0, -72.75)"
390065,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AF24211,2010,ACURA,TL,WHI,39 NELSON ST,04192021,1405,"(41.78716867514897, -72.67559877606843)"
390015,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2005,SUBARU,LEGACY,BLK,140 FRANCIS AV,04172021,0907,"(41.753492701333755, -72.70720522965567)"
389995,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,BB90207,2013,INFINITI,G37,RED,499 GARDEN ST,04162021,1811,"(41.783452115504375, -72.68386537718406)"
389994,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2001,BUICK,LESABR,GRAY,331 WETHERSFIELD AV,04162021,1759,"(41.74683852016231, -72.673662196036)"
390014,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AW83450,2016,MAZDA,CX5,WHI,123 SOUTH MARSHALL ST,04172021,0841,"(41.76411580538022, -72.69900666488189)"
390117,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,BB43615,2021,NISSAN,ROGUE,BLUE,34 WILLARD ST,04212021,1109,"(41.77204698179461, -72.69472228133114)"
389996,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2010,HONDA,ACCORD,RED,125 NEW BRITAIN AV,04162021,1913,"(41.744999215583746, -72.68682790380663)"
389997,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,RI,83274,2017,FREIGHTLIN,SPRINTER,WHITE,95 HIGH ST,04162021,2028,"(41.769037887284796, -72.68010674356542)"
390041,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AZ88543,2006,HONDA,ACCORD,SILVER,115 HAMILTON ST,04182021,0903,"(41.75274069890039, -72.69869351102516)"
389998,,,860-216-5474,NY,JFS3506,2003,BUICK,LE SABRE,SILVER,194 WASHINGTON ST,04162021,2216,"(41.756645966534464, -72.68218384389472)"
389999,,,860-216-5474,CT,BC10843,2004,LEXUS,ES 330,BLUE,145 SISSON AV,04162021,2219,"(41.762212931316135, -72.70698918154154)"
390000,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,T00210T,2017,HYUNDAI,SONTATA,GRAY,384 PROSPECT AV,04162021,2351,"(41.75810714540578, -72.71480472781018)"
390001,,,860-296-5382,CT,97539,2006,BMW,330XI,BLACK,39 VINE ST,04172021,0018,"(41.78053066692582, -72.68952141862037)"
390002,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,BB66202,2014,TOYOTA,CAMRY,RED,91II15 S XT85,04172021,0024,"(90.0, -72.75)"
390004,,,860-296-8588,CT,BA44701,2021,HYUNDAI,ELANTRA,GRAY,48 FOREST ST,04172021,0121,"(41.76486427979837, -72.70007634723294)"
390005,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AW80430,2009,INFINITI,M35,BLUE,365 SIGOURNEY ST,04172021,0146,"(41.777877846182584, -72.69123829622615)"
390003,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2003,NISSAN,ALTIMA,TAN,CAMPFIELD AV & MAPLE AV,04172021,0121,"(41.74316057213883, -72.68267245692383)"
390062,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2001,HONDA,ODYSSEY,TAN,271 ZION ST,04192021,1331,"(41.7486775460233, -72.69416197989831)"
389529,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,TX,04593A6,2009,NISSAN,MURANO,SILVER,100 MAIN ST,04042021,1635,"(41.75675378072733, -72.67534414004805)"
390063,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,2011,HONDA,ACCORD,RED,39 NELSON ST,04192021,1351,"(41.78716867514897, -72.67559877606843)"
390007,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,BB05367,2003,HONDA,ACCORD,SILVER,CURCOMBE ST & WAWARME AV,04172021,0210,"(90.0, -72.75)"
390006,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2001,TOYOTA,CAMRY,BLACK,20 STORRS ST,04172021,0201,"(41.727039918554546, -72.70387629409234)"
390067,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2006,CHEVY,EQUINOX,GRY,CHARTER OAK AV & HUYSHOPE AV,04192021,1436,"(41.75840242754583, -72.66740915778658)"
390064,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2017,NISSAN,SENTRA,SIL,39 NELSON ST,04192021,1359,"(41.78716867514897, -72.67559877606843)"
390045,D & L TOWING,181 PANE RD. NEWINGTON CT. 06111,860-677-7771,CT,AL36986,2014,ACURA,TSX,BLUE,98 GARDEN ST,04182021,2124,"(41.77063232437217, -72.68550172976464)"
390044,,,860-296-2826,AL,47B7A63,2021,CHEVY,SPARK,WHITE,1630 MAIN ST,04182021,2124,"(41.77651624561845, -72.674475520632)"
390185,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,BA64067,2009,MAZDA,6,BLUE,BLUE HILLS AV & WESTBOURNE PKWY,04232021,0817,"(41.78729343519748, -72.69848657037652)"
390186,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AW44537,2007,TOYOTA,CAMRY,GRAY,BLUE HILLS AV & WESTBOURNE PKWY,04232021,0825,"(41.78729343519748, -72.69848657037652)"
390059,,,860-296-2826,,,2000,NISSAN,MAXIMA,GRAY,36 EDGEWOOD ST,04192021,1016,"(41.778183031289025, -72.6919881308313)"
390060,,,860-296-2826,,,2003,FORD,ECONOLINE,SILVER,20 SOUTH ST,04192021,1016,"(41.736072955551926, -72.67181087247045)"
390057,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,12736,2019,INFINITY,Q60,WHITE,48 EDGEWOOD ST,04192021,1004,"(41.77858974842138, -72.69180137458903)"
390056,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,C010033,2020,KIA,SOUL,WHI,REDDING ST & WETHERSFIELD AV,04192021,0956,"(41.741783925794735, -72.67238795972487)"
390058,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,69D7458,2009,HONDA,CIVIC,BROWN,270 LAUREL ST,04192021,1011,"(41.76643243554058, -72.69696318633216)"
390210,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2003,INFINITI,G35,SILVER,110 BRAINARD RD,04242021,0029,"(41.73733137012596, -72.65938136298696)"
390223,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2005,HONDA,ODYSSEY,BLUE,BROADVIEW TER & SHERBROOKE AV,04242021,1316,"(41.74094956385056, -72.70046113774818)"
390212,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,1993,NISSAN,SENTRA,WHITE,1200 PARK ST,04242021,0126,"(41.759001844599695, -72.69908625018063)"
390211,,,860-296-2826,MD,3DZ2929,2014,JEEP,WRANGLER,BLACK,300 ASYLUM ST,04242021,0022,"(41.76758525331148, -72.6785700106631)"
390170,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,BB01021,2004,JEEP,LIBERTY,BROWN,244 FRANKLIN AV,04222021,1755,"(41.74413657684684, -72.67628422724701)"
390171,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2021,JEEP,GRAND,WHITE,32 DEAN ST,04222021,1954,"(41.751343095820594, -72.67691685723108)"
390172,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AT53751,2006,VOLVO,S40,BLACK,1608 BROAD ST,04222021,2036,"(41.74740195634316, -72.68699002065648)"
390173,,,860-293-2442,CT,AA08033,2006,ACURA,MDX,BLACK,10 FORD ST,04222021,2146,"(41.76709204716999, -72.679589264282)"
390174,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,BA96513,2002,TOYOTA,CAMRY,BLACK,900 ASYLUM AV,04222021,2203,"(41.770824108311835, -72.69490725990461)"
390076,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,2003,HONDA,ACCORD,BLACK,VINE ST & WESTLAND ST,04202021,0415,"(41.79251035858909, -72.68669319170749)"
390077,CROSS COUNTRY TOWING,"100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,CT,AW54738,2009,TOYOTA,COROLLA,GREEN,10 MARSHALL ST,04202021,0431,"(41.76857331140937, -72.69822853453705)"
390267,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,462YAO,2008,NISSAN,ALTIMA,BLACK,380 CAPITOL AV,04252021,0917,"(41.764020314821884, -72.68824717015578)"
390066,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2004,HONDA,ACCORD,WHI,39 NELSON ST,04192021,1417,"(41.78716867514897, -72.67559877606843)"
390016,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2003,NISSAN,SENTRA,GOLD,47 ASHFORD ST,04172021,1213,"(41.79903555106729, -72.66459819430756)"
390213,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AY05860,2016,BMW,528XI,WHITE,94 VINE ST,04242021,0139,"(41.78222339371901, -72.6879348596171)"
390224,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AR35693,2009,VOLKSWAGEN,TOUAREG,GRAY,90 BRAINARD RD,04242021,1319,"(41.73824314712848, -72.65946783857022)"
390068,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,BA47763,2008,ACURA,RDX,WHITE,HOLCOMB ST & RIDGEFIELD ST,04192021,1555,"(41.79598327536866, -72.69375439102345)"
390078,,,860-296-2826,RI,AS656,2007,HONDA,ACCORD,GRAY,79 SUMNER ST,04202021,0558,"(41.77208766234659, -72.69007224216702)"
390118,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2003,HONDA,ACCORD,BLACK,43 ALDEN ST,04212021,1130,"(41.75141454048538, -72.67611248966533)"
390046,,,860-677-7771,TN,3R5M40,2020,TOYOTA,COROLLA,BLU,249 SISSON AV,04182021,2247,"(41.76575148863459, -72.70766498885835)"
390135,,,860-293-2442,CT,BB67223,2021,HONDA,CIVIC,BLACK,56 IMLAY ST,04212021,2233,"(41.76650769624618, -72.69514080394083)"
390017,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,AA,63707,2012,JEEP,CHEROKEE,GREEN,270 LAUREL ST,04172021,1327,"(41.76643243554058, -72.69696318633216)"
390047,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2013,HONDA,XR650,RED,495 FLATBUSH AV,04182021,2305,"(41.7400674710041, -72.7141922851277)"
390110,,,860-296-5382,RI,UP617,2020,JEEP,CHEROKEE,RED,963 CAPITOL AV,04212021,0450,"(41.7603335547584, -72.70891750491444)"
390128,,,860-296-2826,,,2000,HONDA,ACCORD,RED,49 WETHERSFIELD AV,04212021,1726,"(41.75438184171913, -72.67507065530985)"
390116,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2005,ACUURA,TL,GOLD,SANFORD ST & WINDSOR ST,04212021,0920,"(41.78695951476598, -72.67000718654684)"
390151,,,860-296-5382,NY,HHE2013,2006,TOYOTA,CAMRY,TAN,777 MAIN ST,04222021,1043,"(41.76607028886748, -72.674190063693)"
390111,,,860-296-5382,CT,AV69708,2017,TOYOTA,CAMRY,SILVER,192 SEYMOUR ST,04212021,0531,"(41.757325901748175, -72.68031633579226)"
390147,,,860-947-3062,CT,BA97439,2008,NISAAN,MAXIMA,GRAY,120 CLARK ST,04222021,0400,"(41.78815477518989, -72.67685117442329)"
390069,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,NY,HWX9419,2021,CHEVY,EQUINOX,BLK,38 WINCHESTER ST,04192021,1802,"(41.79094584823056, -72.68500942302461)"
390018,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AT94536,2006,CHEVY,MALIBU,WHITE,BROAD ST & LINCOLN ST,04172021,1601,"(41.7533953707836, -72.68710966474657)"
390019,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,BB33207,2020,TOYOTA,COROLLA,WHITE,BROAD ST & LINCOLN ST,04172021,1613,"(41.7533953707836, -72.68710966474657)"
390070,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AS51625,2009,NISSAN,ALTIMA,BLK,FOREST ST & HAWTHORN ST,04192021,1907,"(90.0, -72.75)"
390072,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2001,HONDA,ACCORD,TAN,495 FLATBUSH AV,04192021,2241,"(41.7400674710041, -72.7141922851277)"
390071,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2001,CHRYSLER,TOWN COUNT,BLUE,98 WESTBROOK ST,04192021,2236,"(41.744881473994106, -72.70321836060938)"
390122,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AX62024,1997,JEEP,GRAND,TAN,79 ALLEN PL,04212021,1242,"(41.7522005480252, -72.68671360684256)"
390112,,,860-296-5382,CT,AR37136,2003,DODGE,CARAVAN,GRAY,1534 PARK ST,04212021,0602,"(41.75785104200495, -72.70387723667292)"
390143,,,860-947-3062,CT,AZ72037,2004,HONDA,ACCORD,BLACK,81 EARLE ST,04222021,0221,"(41.79126812639708, -72.67344557815079)"
390124,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2003,LEXUS,ES300,GRAY,360 PROSPECT AV,04212021,1252,"(41.7572494944977, -72.71468571258744)"
390133,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2001,CHEV,IMPALA,GRN,289 WETHERSFIELD AV,04212021,2222,"(41.74786139931599, -72.67378712211698)"
390134,,,860-293-2442,CT,BB70040,2020,BMW,X1,WHITE,300 ASYLUM ST,04212021,2226,"(41.76758525331148, -72.6785700106631)"
390125,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,C113982,2004,CHEVY,ASTRO,WHITE,60 BALDWIN ST,04212021,1341,"(41.73400985143797, -72.67801716377055)"
390131,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,MA,9HB357,2013,BMW,X3,BLK,101 RESERVE RD,04212021,1942,"(41.748144686518444, -72.65749638000636)"
390129,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AX27791,2016,BMW,X6,WHITE,EDGEWOOD ST & VINE ST,04212021,1736,"(41.78847714800553, -72.68726115517003)"
